name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,usersrated,average,bayesaverage,ranks/rank,owned,averageweight,numweights
Catch,1995,2,2,0,0,0,8,7,6.21429,0,Not Ranked,18,0,0
Kalle Kängu,2003,2,4,20,20,20,4,5,4.4,0,Not Ranked,26,0,0
Start 11!  The Board Game,2012,2,4,30,30,30,8,55,6.17636,5.53031,10201,109,1.5,4
Zaromba und der verhexte Wald,2002,3,5,45,45,45,6,7,4.28571,0,Not Ranked,19,1,2
Kubla's Gambol,2005,2,2,10,10,10,10,6,5,0,Not Ranked,19,2,1
Viele Tiere,2005,2,6,30,30,30,4,19,5.76316,0,Not Ranked,37,1,3
Nimbali,2001,2,4,10,10,10,5,6,4.66667,0,Not Ranked,18,0,0
Rechen-Kapitän,2006,1,4,15,15,15,6,8,5.675,0,Not Ranked,27,0,0
Keltis Das Mini-Spiel,2010,2,2,15,15,15,10,15,5.34,0,Not Ranked,44,1,2
Schollen Rollen,2017,2,6,0,20,0,8,85,6.10882,5.54473,8945,129,1,3
Mio!,2004,2,6,30,30,30,6,22,4.88636,0,Not Ranked,35,1,4
Gelini Nightlife,2009,2,5,20,20,20,7,25,5.9,0,Not Ranked,28,2,1
Dreaming Dragon,2012,2,4,30,30,30,6,32,5.7625,5.50737,12315,26,1,2
Cucina Curiosa,2015,1,4,30,20,30,8,20,6.465,0,Not Ranked,29,1,1
Business,1993,3,5,0,0,0,0,4,4.475,0,Not Ranked,20,0,0
Intermezzo,1993,2,2,10,10,10,10,6,6.41667,0,Not Ranked,18,1.5,2
Gold Armada,2017,2,5,0,20,0,7,44,5.76591,5.50235,12758,42,1,2
Kurre,1998,2,4,20,20,20,4,17,3.64706,0,Not Ranked,15,1,1
Polynesia,2015,2,4,60,60,60,10,5,4.95,0,Not Ranked,7,2,1
"Typisch Frau, typisch Mann",2006,2,8,0,0,0,16,21,5.40952,0,Not Ranked,54,1,1
Katzenbande,2008,2,4,10,10,10,4,20,5.96,0,Not Ranked,43,1,1
Bibi Blocksberg und das Geheimnis der blauen Eulen!,2004,2,5,30,30,30,7,9,4.66667,0,Not Ranked,14,0,0
Domino Knobelspass,2008,1,2,0,0,0,0,15,6.02667,0,Not Ranked,27,2,1
Primo Calculino,2006,2,4,10,10,10,5,2,5.75,0,Not Ranked,14,0,0
Sherlock Kids,2013,3,6,20,20,20,5,10,6.4,0,Not Ranked,38,1,1
Chex,1995,2,2,0,0,0,12,1,3,0,Not Ranked,16,4,1
Miskatonic University: The Restricted Collection,2018,2,5,45,30,45,13,0,0,0,Not Ranked,22,0,0
Kyoto,2013,1,4,30,30,30,8,25,5.24,0,Not Ranked,46,1.5,2
Penalty,1993,2,2,30,30,30,0,4,5.5,0,Not Ranked,10,0,0
Piraten-Fang,2003,2,4,15,15,15,4,5,4.66,0,Not Ranked,20,1,2
Tajemnicze podziemia,2016,1,5,25,15,25,6,72,6.65278,5.56073,7895,96,1,4
The Ultimate Dice Game Compendium,2006,0,0,0,0,0,6,3,5.66667,0,Not Ranked,15,0,0
"Lass nichts fallen, Kleiner Rabe",1999,2,4,15,15,15,4,7,5,0,Not Ranked,14,1,2
Domino Sudoku,2011,1,4,20,20,20,0,4,6.1875,0,Not Ranked,4,2,1
Mix Match,2010,2,6,15,15,15,8,12,5.56667,0,Not Ranked,22,0,0
Giro d'Italia,1991,2,4,0,0,0,10,3,5.66667,0,Not Ranked,12,0,0
Rrrats!,2011,2,5,20,20,20,5,19,4.94737,0,Not Ranked,15,1,1
Zoodoku,2006,1,4,20,20,20,6,3,2.66667,0,Not Ranked,4,1,1
Zombie Mania!,2014,2,5,20,20,20,8,32,4.7975,5.48422,14009,28,0,0
Singapur,2012,2,2,0,20,0,10,6,7.725,0,Not Ranked,13,1.6667,3
DTC,2012,2,6,20,20,20,7,48,6.05625,5.51754,11395,79,1.4,5
Im siebten Himmel,2005,2,5,20,20,20,10,6,4.11667,0,Not Ranked,14,1,1
Gravitas,2012,2,2,0,0,0,8,4,7,0,Not Ranked,11,1.5,2
Wer war's: Das Kartenspiel,2015,2,4,15,15,15,5,13,5.73077,0,Not Ranked,37,0,0
Wer war's? Löst das Rätsel von Schräghausen!,2010,2,4,45,45,45,7,26,6.03846,0,Not Ranked,59,1,1
Rummy 17,2016,2,6,20,20,20,10,27,5.97037,0,Not Ranked,56,0,0
Royal Flush,1993,2,7,15,15,15,0,2,5,0,Not Ranked,16,0,0
Candy Match,2017,2,6,20,10,20,8,23,6.41739,0,Not Ranked,51,0,0
Limes,1995,2,2,0,0,0,8,1,3,0,Not Ranked,17,0,0
Pędzące Ślimaki,2016,2,5,20,20,20,6,123,6.61626,5.59661,6241,134,1,5
King,1994,2,2,0,0,0,10,1,3,0,Not Ranked,14,0,0
Hot Wheels Speed Rallye,2011,2,4,15,15,15,6,6,5.83333,0,Not Ranked,20,1,1
Sieben unter Verdacht,2010,1,5,15,15,15,10,10,4.72,0,Not Ranked,30,1,1
Schwuppdibus,2000,3,4,10,10,10,5,4,6.25,0,Not Ranked,17,1,1
Disney Planes Air Champions,2013,2,4,15,15,15,5,3,3.33333,0,Not Ranked,9,1,1
The Good Dinosaur: The Great River Adventure,2016,2,4,0,20,0,5,5,6.3,0,Not Ranked,15,1,1
Kampf der Magier,2008,2,6,20,20,20,7,20,5.603,0,Not Ranked,41,1,3
Sudoku: Das Würfelspiel,2006,2,4,20,20,20,8,4,4.625,0,Not Ranked,19,0,0
Die drei ??? und der Feuerdiamant,2013,2,4,60,60,60,8,20,6.05,0,Not Ranked,43,2,2
Kick,1995,2,2,0,0,0,8,2,4.5,0,Not Ranked,13,0,0
Catch Me!,2010,2,5,20,20,20,0,2,5.5,0,Not Ranked,8,0,0
BITS Mitbringspiel,2012,1,4,20,20,20,8,22,5.68182,0,Not Ranked,53,1,2
Fische fangen,2007,2,5,15,15,15,4,3,6.33333,0,Not Ranked,8,1.5,2
Wahlparty,1990,4,12,0,0,0,12,3,6,0,Not Ranked,8,0,0
